[INFO: ] 2025-10-20 14:50:13.8247901 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8481668 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8483208 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8484445 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8485618 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8486791 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8487941 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8489077 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8490224 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8491350 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8492503 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8493638 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8494777 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8496014 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8497186 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8498357 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8499509 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8500657 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8501796 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8502953 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8504184 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8505355 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8516308 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8518083 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8519315 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8520490 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8521649 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8522793 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8523938 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8525084 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8526210 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8527341 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8528478 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
[INFO: ] 2025-10-20 14:50:13.8529612 EDT | F:\source\repos\Raylib_Project1\Raylib_Project1\TaskManager\TaskScheduler.cpp:void __cdecl TaskScheduler::AddTask(class std::shared_ptr<class BaseTask>):51 | Task added to bin: 
